Yelp Review,Sentiment (Teacher),Sentimemnt (Student Pre-training),Sentiment (Student post Distillation)
"Thankfully I only stayed one night there and after arriving and waiting in line to check-in for almost 40 minutes, directions to our rooms were given to us. Directions that lead us to no results since we got lost. The layout of the casino and hotel is extremely confusing and is not intuitive at all. \n\nFinally we made it to our room and noticed a weird smell in the air. Not that of dead prostitute or cold tobacco thankfully, but it was rather funky and we had to crack the window open to freshen things up.\n\nThe room was decent but far from great. It was clean at least but the beds were a bit soft. The internet wasn't complimentary either and was something like $8 per device which I thought was rather expensive, especially in this day and age; at least it was fast.\n\nAlthough I'm sure that Circus Circus, at some point in time, might have been a nice play to stay at, it seems very beaten up and is now just a tacky, worn out and in dire need of rejuvenation kind-of-place. It's pretty bad in there and almost creepy. Looks like it hasn't been touched since the 70s or something and the casino floor is another great display of where I would not want to spend a dime. It smells bad and the croupiers are creepy looking.\n\nThere's a Krispy Kreme donut shop and a few shops on the lower floor and they have an entire part of the building that's under a giant, ugly purple down known as the \""Adventuredome\"" where there's some kind of theme park. It was closed when I tried to scout it out, possibly because it was past 10PM. It didn't look all that great.\n\nAs far as food options go, there's very little that they offer .There's a buffet but it looked terrible. We settled for Rock & Rita's for our breakfast and it was not all that great. There's a few bars but most of them are lame and past their prime as you'll be able to tell when walking around the place for over an hour around 10:30PM-ish.\n\nIn many ways, this place could be used a set for a sequel to Steven King's \""IT\"" movies or something. It's definitely creepy enough. Maybe they should just blow it up and build something else there. It might actually improve the value of the land and Circus Circus seems to be past it's prime... Way past it.\n\nI doub that I'd ever want to stay there again. There's many better options and most have a better location since Circus Circus is at the very beginning of the strip.",negative,neutral,neutral
"The other reviewers are not kidding. There are a LOT of kids here. Like, no joke.\n\nI like kids, don't get me wrong. But not in Vegas. Not when I'm trying to get my drink on.\n\nThe bf and I got a free stay here for sitting through one of those timeshare seminars. Free = good, I guess. The rate here normally I know isn't bad, but it's quite the hike to the center of the Strip. And that was in tennis shoes! Was I about to try it in heels? Hell to the no. We ended up spending quite a lot on cabs that could have been avoided had we been closer to everything else. \n\n2 stars because the room was actually nicer than the Tropicana, where I stayed the last time I was in Vegas - but that isn't hard to do. We had an awesome view of... the gray side of the building and a trash-filled alley. Awesome. Why am I giving this place 2 stars again?",negative,neutral,negative
Circus Circus home to Midway is truly a good memory for me when I was younger. Its more of a family casino hotel in the sense it is more kid friendly than other hotel casinos on the strip. I've been to Circus Circus countless amounts of time and it is a pleasant experience each time though if you're looking for shopping euphoria and gambling then search elsewhere. But otherwise I would reccomend it since it is cheaper than other hotels and offers about same amenities and serves the same function. You can always walk elsewhere to have fun and gamble and later walk back to sleep so its your call but good place and I always had fun. Midway can get addicting even for us adults so be careful about that! But otherwise have fun and go win yourself a teddy bear instead of just losing all your cash on the tables ;) It's Vegas! Have fun! Stay Safe too!,positive,neutral,positive
worst hotel in vegas\n\nsuck ass!!!,negative,negative,negative
"Been coming here since I was a kid. Stayed in the Skyrise Tower before and it was great no complaints. This time we got the chance to stay at the Circus Circus Manor Motor Lodge. Its was the chepest rates. So we said what the hell let's try it out. Arriving I thought, damn its gonna be real ghetto with all kinds of weird looking people. Wasn't to sure about it. Upon arriving we check in went to room and it kinda looks like appt complex. Seemed really quiet and sane normal looking people. When we went in room I checked everything from bathroom, to cabinets, to safe, to bed and under bed. Looking for any nasty s*** we didn't like or looked dirty. But hey it was actually pretty clean, no roaches and no bed bugs! The bed was very comfortable, better then I expected! The only down side is that its a walk to casino and the strip. But not too far. So wear some comfy shoes. I wouldn't mind staying here again if Skyrise Tower is all booked. So people try it out, its not as bad as some people make it seem. Cheapest rates, hey more money to gamble and drink...",positive,neutral,negative
"Ok seriously? So this place is out of control. I will NEVER return. I didn't care for Vegas as a whole but this establishment really did it in. The service was absolutely horrible. They need some serious Customer Service intervention. At first sight I was mesmarized, as I am sure all Vegas Virgins are. We got an impromtu tour across the entire Circus Circus ground because they can't seem to articulate their own maps, but I don't blame them neither could anyone else. We ran into plenty of people in their Peasant Wing where the project housing/extra rooms are located. When we finally got to our rooms, after our hour long hike (with 2 kids and my mother, we were highly amused. I felt like I had been thrust through a time warp to the 1980s. WTH! My husband and I laughed for about an hour at the decor. I really don't think I had a decent meal the entire time. I felt like I was vacationing at a mall/airport. The mallport of America. The amusement park was pretty fun. My kids had a good time there. The rides were exciting. I loved the 4D theater and the roller coaster. The lines were not long either. That was about the only decent money we spent. That place needs to be torn down and rebuilt completely...starting from bottom up..all the way up.",negative,negative,negative
"It has a great area for kids, plus free circus act shows. If you aren't traveling with kids, then I cannot recommend this casino. It smelled and no one came around with drinks the whole time we were playing craps and blackjack. The place is in serious need of cleaning and renovation.",negative,neutral,negative
"We came over to check out the adventuredome... Lol big laughs... Well it's off the strip, so it isn't as classy as everything else, the adventuredome is not bad, but rides are limited and somewhat costly IMO. There are some carnival games/arcade which I love so we played some... Other than that, we were bored and left back to the strip!",neutral,neutral,negative
"I stayed here in the summer of 2011 with my husband and his family. We had three rooms in total. When we walked up to the Hotel from the parking lot there was an overwhelming smell of garbage. Inside the lobby we checked in, gotten our rooms keys and we went up. My father in-law however, chose to get us up on the wrong floor and we got a bit lost, not knowing where our rooms were. He decided to get some help and we were helped by a staffmember of the hotel. It was all friendly and professional. \nThe Rooms:\nMe and my husband went into our rooms and I thought it was going to be a bit of a run down room, but it was not! It was pleasant, good in size and neat. Instantly I felt more relieved, that was until we wanted to put some cash and jewelry in our safebox, which did not work. I alerted my father in law and he contacted front desk. They said that someone might come to our rooms tomorrow between 12:00 AM and 4 PM. Uhm, we're supposed to be in our rooms the whole day? We didn't do that and used the safebox from my father inlaw. But it was a bit frustrating that they could not send someone straight up. \nEven though the rooms we had were fairly modern and pretty, some parts of the hotel it self were a bit run down. When me and my husband walked towards the pool we peeked into some other rooms that were being cleaned and we were shocked (and happy) to see how the quality was in there. \nThe Buffet: \nA no go... It was disgusting, and very unsatisfying... Everything I ate there tasted like plastic. That was not even the worst part, when I went to grab food I noticed chicken bones on the carpet, lying between tables, anyone could have spotted it. When I went back to my seat it was still there, and when we left it was still there. We had been sitting there for quite a while and it seemed to me it was ridiculous that none of the waiters had picked it up. So I got a napkin, picked it up and dumped it on a not yet cleaned table.\nWe did go into the Adventuredome, but we didn't go on any of the rides. It does seem like a fun time for kids, but I got no clue why anyone would take their kids to Vegas to be honest...",negative,neutral,negative
"My wife and I stayed at Circus Circus for our honeymoon because my brother paid for our trip and was being price conscious.. not that there's anything bad about that and we definitely appreciate him hooking us up with a Vegas trip. We had alot of fun while we were there and was definitely worth it, but this is a review about Circus Circus so lets begin.\n\nThe place is definitely old and shows it. We got to the hotel and the minute we walked in the front door someone started trying to hook us up with complimentary shows and passes, but required a major credit card (if its complimentary, why do you need my credit card?)  We get to the check in area and there was nobody there. We waited about 20 minutes and finally someone showed up. Circus Circus charges a mandatory resort fee for each day you stay, and apparently from what I've read on other Hotel Reviews, pretty much all of them do... So we weren't surprised nor did we care to pay it.  After we got our room cards we proceeded to head to our rooms. We showed up on a Tuesday so there was hardly anyone around and that's understandable. We had to walk an ungodly distance to get to the tower our room was in.. The place really looked run down, everything was expensive and there were lots of kiosks everywhere selling useless junk at ridiculous prices. (i.e. Fake jewlery, hats and crap). Anyways, we got to our hotel room, and it was decent... about the equivalent of what you can expect from a Motel 6 or Super 8 as far as decor was concerned. Our view was overlooking the north end of the strip where you can see the Stratosphere and in the distance, downtown. The view was pretty nice if you ask me. The bed was extremely comfortable. The window to our room was partly open in the corner and was nailed in that way so we couldn't close it.\n\nThe food there was bland at best and I would recommend eating at other places. We enjoyed the free circus acts, its surprisingly entertaining. Come the weekend and all hell breaks loose... There are children EVERYWHERE bumping into you, screaming, acting like.. well... Children and we dare not try to go to the pool.\n\nThere were no attractions for 20-30 something adults, like clubs or anything like that. We would have to venture into the strip or downtown for that. The casino sections are amazingly boring and poorly lit.\n\nOverall, Im sure this place is great if you want to bring your kids to Las Vegas (why?... its Las Vegas.. should be adults only), but for grown ups, I recommend staying else where.  Other than that, it was an ok stay and we don't have anything else bad to say about this place.",neutral,negative,negative
"Review for casino only:\n\nI was at Circus Circus last night to go to their Steak House restaurant. I had forgotten how large the place is, but coming from the garage in the back, I didn't have to go to the main casino. I did anyway just to see one of the circus acts. Roller skating duos must be the rage in Las Vegas with a couple spinning there last night.\n\nThe place was cleaner than I remembered from years ago. It's not a place I'd go except for the restaurant, but it is OK.",neutral,neutral,positive
"The only reason this place got any stars out of me was because of the Adventure Dome. As far as entertainment for kids, it was fantastic and worth the money. I would not recommend eating or sleeping here. Their restaurants in their food court served bland food, not worth the money you pay for. We even tried eating at the McDonalds upstairs, because I thought I knew what to expect. The service was horrible! As far as sleeping there, they messed up our room reservation and gave us one king instead of two queens. We were tired from our six hour drive, so we opted to have a rollaway bed brought up instead of going downstairs to switch rooms. Bad idea, my daughter ended up getting lice! We know it was the rollaway bc my husband, two little boys and I slept on the king bed and we didn't get lice. We asked twice for our room to get cleaned and it never did. When I called for extra towels they took over an hour to bring them up. Our relaxing family trip to Vegas was ruined and our entire family was so relieved to go home.",negative,neutral,negative
"This place is the worst! It's run down and just ghetto! It's supposedly kid friendly, but I would never bring my kids to this shit hole! This was our first trip to Vegas so we had no idea this place was so nasty otherwise we would have never stayed here. It's all the way at the end of the strip AND you have to walk 4 blocks off the strip down a dark, smelly alley to get to your room! Yes, the prices are cheap, but if we ever came back to Vegas, we would pay the extra $20 a night and stay somewhere half decent.",negative,neutral,negative
"Wow, is there a negative 12 star? Seriously, the only accurate word to describe this place = Ghetto!\nMy GF booked a room here for her hockey tournament, thinking cheaper is better. This place is a rats nest! Cigarette holes in all the bedding, a putrid vomit tinge in the hallways, and the bathroom? Wow. All the towels were stained, and the shower curtain looks like a Petrie dish mold experiment! A new coat of napalm might help the walls and ceiling in there! If she hadn't paid up front we'd be out of this crap hole. Forgot to mention the drunk, sloth of a woman screaming at her man friend at 4 in the morning. Good times!",negative,neutral,negative
i well never come back in place at all its very dirty no hot water we payed for 3days in we ask if they can gave as back the money we payed for its trou online in in they was very roods in nasty about its im telling you the place its was suck i never have that bad s here we stupid we do we payed $200.00a day for 3 days the bad thing about its we meet my family there in we payed for 3 rooms in we are not so happy wint we got are room so my family bed was very filthy bath room to no hot water i my family if they have something that we have in are room wel they have worse than we got so to all you people if think going to the place dont its suck,negative,neutral,negative
"If you are coming to Vegas just to party then this place would be good, As you likely won't be doing more than sleeping off a hangover In your room, But being here on business it was really hard to get good sleep, bed sucked, had a lovely view of the roof/solid wall, And crap TV! The staff is just okay we waited in a long line for over 30 minutes just to check in.",negative,neutral,negative
"This is my first time writing a review, and I did it because I had such a bad experience at this hotel.\n\nI got my stay here through another website i think it was hotels.com (not sure though) it was a good deal. 6 nights/7days king size bed with air conditioning and a fridge. Turned out it was at the manors not even connected to the hotel. I decided to upgrade when checking in. The lady was real nice about it and got us the upgrade real easy. Had to wait around about an hour or two because there card system was down.\n\nFrom first glance, the hotel looks grimy, old, and wore out. Same is said of the inside. It's stuffy everywhere and smells of smoke (which isn't to big of an issue for me)\n\n I went and got my key and went to pick up my luggage because I didn't want to carry it around with me, so I left it at the luggage hold area. No one was at the desk! and their were 4 other people waiting by the time I got there. 20 minutes passed before a lady showed up and started getting people their luggage. smallest quantity at a time. I had 5 so I had to wait until she got through all 4 other people. (she looked super annoyed with her job and looked like she didn't want to be here at all. no care about the customers/clients/guests)\n\nGet up to my room on 6th floor. My room is small with a small bathroom and a door to the adjacent room?? (Security risk any?) air conditioning didn't work, fan had mold on it, of course I didn't realize that until I started to get sick a day later from having it run. No fridge in my room like the deal said. Oh did I say I was put in a smoking room on a nonsmoking floor? because it was the only one available for upgrade. Well after a terrible night's rest, and getting sick from the mold they moved me down the hall to a new room.\n\nLooks Identical. only they gave me a fridge and a working air conditioner and no door to the adjacent room. Yet the room is placed in a similar location where my last room was, so whats up with that? the view from both rooms is terrible. You mostly look at a building in front of you and the roof of the main building area below you.\n\nThe Buffet Review: 1/5\n\nOver Priced, terrible selection of foods, and even worse in the taste department. After waiting in line for about 10 minutes which isn't to bad for lunch time. I got seated and went to look at the foods. Wide selection of choices they do have.\n\nMy first plate consisted of Mashed potatoes w/ gravy, fried chicken wings, mac & cheese, x2 sausage links, and toast. The wings, M&C, and potatoes were yucky. tasted like 3 day old KFC, because 2 day old KFC tastes better! The sausage links were cold in the center and under cooked, and the toast was just plain cold.\n\n2nd plate was a salad with olives, cheddar cheese, and ranch. Because the rest of the salad makings either don't belong on a salad or belong to a separate salad group. the dressings were miss labeled ( I don't think rang is supposed to be orange?) or they weren't labeled at all. The lettuce was dry and warm which salads aren't supposed to be warm. I also grabbed a plate of sliced cherry pie, my thought was how can you screw up pie?...Circus Circus did! it tasted like that fake pie you make when your to lazy to make your own or to cheap to buy the good stuff for an extra 2 bucks. Plus it was cold. If anything positive came out of the buffet it was the water. Because at least that they got right. Cold and wet!\n\nI'm almost done. Most of the people here are nice. The room keepers if your lucky enough to get English speakers are pretty nice. Unless they don't understand the word go away, or can't read the do not disturb sign. I was interrupted by several room cleaners on several occasions. They just barge right in without saying anything. I don't think they care to read the do not disturb sign clearly placed on the outside door handle. One of them came in while I was undressing ( which I wouldn't mind if she was attractive, which He wasn't) \n\nThe casino area. It clearly states no minors under the age of 21 allowed in or to loiter in the gaming area. I must have seen several kids sitting on the gambling games next to their parents which is illegal. I even saw a kid sitting at a black jack table, clearly under the age of 15. The waitress/servers in the casino area are not attractive but instead look like 40 year old ladies in terrible shape who shouldn't be wearing said outfits. Plus their service is terrible, they walk around saying \""drinks? Drinks\"" and they walk so fast you have to yell at them to get there attention. Then you don't see one for at least 20 minutes. cheaper to just sit at the bar. Plus I saw several of these servers just coughing on the drinks they were serving, made me sick knowing they coughed on people's drinks.\n\nOverall a bad stay here. Recommend if your looking for a cheap stay. better staying at a motel or something. Plus some health concerns here!",negative,neutral,positive
"Mediocre stay. As a kid I always wanted to stay at Circus Circus., simply because of the midway and Adventuredome. Never happened. Now as an adult my husband and I stayed INCASE we couldn't find a babysitter and had to take our son along. Luckily we did have a babysitter but unfortunately we were stuck with the room... March Madness weekend, everything was mostly booked and overpriced.\nCheck in was at 3pm but we wanted to check in early since we arrived at 10am. Check in fee was $35., umm no thank you. So we returned around 2pm after a meal and a walk on the strip and were able to get the room by then. There was a charge of $10/per night for the resort fee. Which includes wi-fi access, fitness room, pool etc.\nStayed in the Manor Lodge which is inconvenient because of the walk., but whatever. The bed was comfortable and the room was pretty big. The wi-fi was horrible! I could only get a \""decent\"" signal standing by the fridge in the corner. As soon as i walked to the bed it would disconnect. WACK! Speaking of the fridge, it was broken. We couldn't chill our drinks smh.\nOverall IF you can Avoid staying here, it's best. Especially if you have no children with you. But if there's no other option it's good just for sleeping/showering etc. Really that's all you need it for anyway, right? :)",negative,neutral,negative
"Don't go to vegas on a whim with your kids if you are a frugal person. I've been to Las Vegas many times before but never with my kids and never stayed at circus circus. This was the only hotel that had rooms available on a saturday night that was on the strip that seemed \""family friendly\"" for under $250.00. I was told at the front desk that all the rooms were nice and I overheard someone else say that rooms had been remodeled. Must not have been mine. I stayed at the sky tower for about $130.00 and the room looked like it had been the same since late 80's early 90's. My sheets had holes in them, the decor was dreadful, and the whole way to the room looked dingy and old. Lesson learned, don't stay at this hotel, and don't bring the kids. They where underwhelmed by the adventure dome and wished I had just taken them to six flags or knotts.",negative,neutral,negative
"Circus Circus has not changed much since 1995, except that the buffet is $15.95 now instead of $4.95 back then! The decor is stuck in the 1980's and the rooms are, unfortunately worse, with wildly circus-themed decors. Much better choices!",negative,neutral,negative
"I love having to purchase my own extension cords when outlets don't work.\n\nThe scenic view of exterior pipes is utterly breathtaking.\n\nI hate being treated well so I felt right at home.\n\nThanks for not providing a small fridge, microwave, or coffee maker as I love paying over $3 for a medium coffee and not being able to save this place's below average food.\n\nMy favorite feature of CC is still being charged an entire week when we decided to head home to finally relax.\n\nHighly recommended to anyone who finds camping to be luxurious.",negative,neutral,positive
"The hotel room was dingy which made it appear dirty. I had no idea my room would NOT be in the actual hotel, but in their RV/Hotel Manor which was about a good 4min walk. I was by myself, and female and every time I walked back to my room, I was being hit on and talked to by unsavory men. I did NOT feel safe in this hotel at all! This is definitely not an upscale hotel where you will find many classy people. The staff was also rude, and their buffet was akin to high school cafeteria food. They were an hr late opening up their Italian, and mexican lunch bar. They seemed to have no accountability. This hotel was very dark and outdated, I felt like I stepped into 1972 when I walked in. I would NEVER stay at this hotel again!!!!!!!",negative,neutral,negative
"My husband and I stayed here for 2 nights. We needed an inexpensive room for the weekend. Checking in was easy, staff was quick and courteous. We were told we would be staying at the Manor. The benefit to staying there was our car was close for us to use. However, you are not attached to the casino. The room was older as was the furniture. The king size bed was very new and very comfy, as were the pillows. We had a keurig for am coffee (something our friends at a higher end hotel didn't have). \nMy huge complaint is that 1 1/2hours prior to checkout our water was shut off. ( no flushing the potty, hot water to shower, washing your face/brushing your teeth). Water was returned 10 mins before we left. \nThis was not my first time in Vegas but it was the first and last time I will stay here.",negative,neutral,negative
"For $28, I'm not sure my expectations were ever very high. This is the kind of place where you can hear your neighbors having late-night sex (wait, that's probably just Vegas), the pillows smell like they haven't been thoroughly washed, and you see high-heeled girls getting into dark pimped-out cars at 6am. But it's cheap, and the kids love the Midway - we spent an entire afternoon playing the games there, helped out by $5 off each person's ticket that came with our hotel room. The gambling itself is OK, and we didn't try any of the food. It set us back about $15 each time we cabbed to either the main part of the strip or old town Vegas, so you have to factor that into your overall cost (it's a 3+ mile walk otherwise, in a not so great part of town). Would I come back? Well, it depends on what kind of vacation I wanted. For a total experience, probably a nicer hotel would be my choice, but if I want to optimize for spending my money gambling or shopping, I have no pride about staying in a place like this - why not? Just turn the pillow over - the other side is probably cleaner.",neutral,neutral,negative
"Very typical Vegas--I got a deal on Hotels.com for $119 for 1 night in one of the \""Motor\"" buildings. It was a little trashy (some peeling paint and a worn out comforter), but it was totally what I expected. When booking a room, definitely find a deal and don't pay full price! Beware that there are multiple buildings with rooms, some farther from the casino than others.",neutral,neutral,neutral
"Good:\n-Clean rooms, attentive house keeping. We called multiple times for towels and they were there instantly\n-Great for kids and family\n-Cheap rooms\n-Ample parking\n-Good Gaming. \n\nCould use work \n-check-in slow\n-parking, although ample, is a pain to get around.\n-place needs some touch up paint, very faded in areas. \n-signage is confusing\n\nBottom line, clean cheap room on the strip. Good deal.",positive,neutral,positive
"We came here because I couldn't afford much else. Unless you are dialed in, in Vegas you get what you pay for. The place smelled from the get go - but at least the hotel crew were nice. The room was clean but oldish. Not my favorite experience. \n\nMy wife lost here cel charger in the ice dispenser. DONT DO THAT! Apparently it happens more than you'd think. It took nearly an hour to get someone to open it up and get it out. Time wasted waiting for help.\n\nWiFI included but spotty.\n\nWe ate breakfast at the Vince Neil restaurant. The food was ok, portions were small. Go eat at Ellis Island Brewery it's great and cheap. The food vouchers they give you are pretty much useless. They take overpriced food and make it less expensive. We didn't end up using them.\n\nI really wish Circus Curcus could get their crap together. The whole place is overpriced for what it is and they won't be able to rely on $3 ring toss games to restore their image.",negative,neutral,negative